ano,id_subsistema,nom_tipousina,val_geracao,val_vazaoafluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaodefluente,val_vazaotransferida,val_vazaonatural,val_vazaoartificial,val_vazaoincremental,val_vazaoevaporacaoliquida,val_vazaousoconsuntivo
2011,SE,HIDROELÉTRICA,270474413.533,30158375.92,22698271.58,4849174.53,2077.0,29841574.06,71582.49,46455376.25008101,13455823.27,13841791.59335889,95811.797,458797.9835
2012,N,HIDROELÉTRICA,43439697.3,5776964.55,4114538.0,1635091.37,0.0,5829823.98,0.0,9020192.27,66427.0,3391333.30727811,3991.201,12864.742400000001
2012,NE,HIDROELÉTRICA,51761622.61,3783403.34,1755181.0,34368.11,0.0,3372069.07,0.0,4683368.37,0.0,632741.11001465,6305.592,1886.6359
2012,S,HIDROELÉTRICA,53796505.0932,3182458.65,2755579.6,319236.22,0.0,3176146.86,-354.0,3155989.04,301695.92,1010359.05,4383.692,18097.2072
2012,SE,HIDROELÉTRICA,292303962.733,34919789.07,23219147.72,8713426.76,2228.0,35584044.64,76946.45,39296073.48001071,10508217.64,11980856.77934324,91403.747,472008.6562
2013,N,HIDROELÉTRICA,44871883.64,6098013.63,4342844.78,853149.75,0.0,6006006.12,0.0,8939934.73,69390.0,4060462.64943388,4194.818,13485.4567
2013,NE,HIDROELÉTRICA,33883760.1822,2594328.46,1034813.0,59045.18,0.0,2158410.23,0.0,3670300.95,0.0,624705.8,6730.472,1928.6362
2013,S,HIDROELÉTRICA,78377991.51,5320437.94,4036173.0,1099281.17,0.0,5226532.56,155.0,5489501.6,447546.17,1853204.25,4611.458,18801.4269
2013,SE,HIDROELÉTRICA,256618978.573,38422789.37,20979647.02,14165809.91,2141.0,38163824.7,103047.05,42617341.44998094,13611461.22,13222081.69327853,88587.726,537674.5129
2014,N,HIDROELÉTRICA,46808400.4385,6937603.7700000005,4537982.0,2174244.77,0.0,7023458.73,17.0,10489740.0,75142.0,4494153.09681425,4135.554,13866.5982
2014,NE,HIDROELÉTRICA,29801839.5014,2151237.27,1786399.35,10458.3,0.0,1836836.62,356041.0,2992333.43,0.0,544076.51,6453.515,1966.3199
2014,S,HIDROELÉTRICA,87851094.94756666,6393045.91,4642144.0,1653670.61,0.0,6353241.75,875.0,6240810.57,471524.81,2150578.22,4637.253,18996.3601
2014,SE,HIDROELÉTRICA,227072603.46960676,38305477.56,21854559.47,15883360.47,2001.0,38845414.55,62172.6,37773685.38005849,7528153.63,14205377.26448858,79109.662,564369.4806
2015,N,HIDROELÉTRICA,43176239.586,5527282.04,4486822.0,789389.86,0.0,5323368.86,1934.0,7694408.73,48750.0,4820120.12344379,3954.128,13930.85
2015,NE,HIDROELÉTRICA,26088127.80467788,1861641.32,1592048.31,11854.04,0.0,1608763.17,334260.0,2447286.55,0.0,418944.15046962,6458.856,1962.9201
2015,S,HIDROELÉTRICA,90940505.78678694,7130703.28,4710392.0,2239607.36,0.0,7003854.51,1306.0,7358832.03,515625.89,2495074.7,4311.813,18784.6735
2015,SE,HIDROELÉTRICA,220768222.4404968,36066109.24,24989387.52,10598901.3,1957.0,35851061.35,25712.08,39055035.8900012,9921238.83,14442171.9347581,78731.028,576574.0382
2016,N,HIDROELÉTRICA,34182422.559,5390908.21,3739608.0,1570881.37,2530.0,5318568.29,158181.0,5402823.97,1357448.74,3671598.93135519,4643.1539999999995,14946.423
2016,NE,HIDROELÉTRICA,21584570.16,1682327.7,1333029.63,31964.05,0.0,1367278.29,279658.0,2847461.2600000002,0.0,504650.84004763,4410.833,2068.7061
2016,S,HIDROELÉTRICA,88960174.59,5328586.79,4519367.0,812464.71,28554.0,5362676.87,502.0,5139934.84,419795.39,1695353.14,7392.941,20930.6655
2016,SE,HIDROELÉTRICA,254043816.9717,35138318.12,27818841.07,6992840.28,24483.0,35056545.28,59204.1,37148603.43006585,12068637.1,11804886.23508548,85875.694,613986.7048
2017,N,HIDROELÉTRICA,48435078.246,7654634.15,4892222.0,2689292.0,3588.0,7591005.0,552087.725,7695307.6,2648990.26,5932242.82621721,6823.337,28974.7317
2017,NE,HIDROELÉTRICA,16121706.638,1273251.15,1021134.28,39091.92,0.0,1060124.1,210868.0,1963737.22,0.0,363656.67,3271.044,2111.735
2017,S,HIDROELÉTRICA,70161274.072,4722340.07,3625850.0,1023719.57,42057.0,4693382.76,250.0,4723514.05,319157.11,1632501.09,6004.536,20850.695
2017,SE,HIDROELÉTRICA,259477143.581,34900335.136,30088257.78,3654737.98,163080.0,34937619.71,137159.71,34725735.99000155,9598302.07,12080183.8351118,79510.354,677841.0996
2018,N,HIDROELÉTRICA,59956208.147,8987808.459999999,5779629.25,3575445.31,8575.0,8971240.59,925894.033,9082530.21,2258136.58,6494411.4193851,7054.758,29866.0574
2018,NE,HIDROELÉTRICA,16156764.505,1389518.89,1029199.73,45089.59,0.0,1077210.94,204006.0,3104658.08,0.0,529974.34,3329.53,2157.795
2018,S,HIDROELÉTRICA,68672817.218,4383070.67,3462655.62,431948.0,37431.0,3937260.66,255.79000000000022,4429103.79,279079.24,1379013.41,5717.675,21180.6016
2018,SE,HIDROELÉTRICA,263619601.292,38023889.033,31747516.23,6051953.56,159272.95,37872325.62,65621.91,39985653.2099501,9787891.16,14271723.31282904,80869.076,692963.7788
2019,N,HIDROELÉTRICA,65259877.244,8386632.332,6118300.48,2307289.93,19769.0,8424221.69,1256568.425,8327534.76,2529886.351,6224812.0171271805,1771.794,13410.0604
2019,NE,HIDROELÉTRICA,21545577.826,1573824.056,1327477.0,12388.48,0.0,1341496.86,270526.0,2593504.0,0.0,404526.047,1415.062,965.1663
2019,S,HIDROELÉTRICA,67634715.511,4332675.454,3750191.65,565360.42,40832.0,4370172.19,162.0,4190027.54,263175.681,1310480.253,2368.262,8107.2154
2019,SE,HIDROELÉTRICA,255302339.926,36510855.388,31444500.33,4917632.59,157825.18,36577551.91,55736.869,36966917.50004968,8626797.379,12959371.10113673,32754.398,308844.1173
2020,N,HIDROELÉTRICA,67195831.19,9256948.81,6273686.0,2946079.0,5989.0,9225005.0,1416039.45,9443745.59,2832389.44,6844124.9,5995.094,30874.8736
2020,NE,HIDROELÉTRICA,37515452.951,2839885.84,2266240.61,37484.909999999996,0.0,2303725.49,473327.0,4502620.69,0.0,681935.68,3092.45,2206.8906
2020,S,HIDROELÉTRICA,39377324.08,2632499.27,2229035.18,351681.0,37702.07,2622721.91,1580.49,2653717.61,160051.98,817789.6,5589.027,21248.2737
2020,SE,HIDROELÉTRICA,260588714.552,34663414.48,31861655.09,2710685.74,124184.5,34734269.43,114275.26,35710945.77996269,8476138.746,11803906.26687064,82725.205,706946.9791
