ano,id_subsistema,nom_tipousina,val_geracao
2018,SE,FOTOVOLTAICA,910521.979
2018,SE,HIDROELÉTRICA,263619601.292
2018,SE,NUCLEAR,15674081.024
2018,SE,TÉRMICA,36302798.908
2019,N,EOLIELÉTRICA,1650590.73
2019,N,HIDROELÉTRICA,65259877.244
2019,N,TÉRMICA,15935607.546
2019,NE,EOLIELÉTRICA,46111094.40623
2019,NE,FOTOVOLTAICA,2861004.094
2019,NE,HIDROELÉTRICA,21545577.826
2019,NE,TÉRMICA,17464651.974
2019,S,EOLIELÉTRICA,5628094.826
2019,S,HIDROELÉTRICA,67634715.511
2019,S,TÉRMICA,10204062.23
2019,SE,FOTOVOLTAICA,1523551.073
2019,SE,HIDROELÉTRICA,255302339.926
2019,SE,NUCLEAR,16128756.691
2019,SE,TÉRMICA,37835711.314
2020,N,EOLIELÉTRICA,1583158.85
2020,N,HIDROELÉTRICA,67195831.19
2020,N,TÉRMICA,16424462.489
2020,NE,EOLIELÉTRICA,46143007.005
2020,NE,FOTOVOLTAICA,3472106.948
2020,NE,HIDROELÉTRICA,37515452.951
2020,NE,TÉRMICA,12420204.987
2020,S,EOLIELÉTRICA,6369137.177
2020,S,HIDROELÉTRICA,39377324.08
2020,S,TÉRMICA,11843005.08
2020,SE,FOTOVOLTAICA,1757405.402
2020,SE,HIDROELÉTRICA,260588714.552
2020,SE,NUCLEAR,14048853.61
2020,SE,TÉRMICA,35481605.0635
